IO	 0	 0.066675
CPU	 1	 0.033325
IO	 2	 0.066675
CPU	 3	 0.03335
IO	 4	 0.083325
CPU	 5	 0.033325
IO	 6	 0.083325
CPU	 7	 0.033325
IO	 8	 0.066675
CPU	 9	 0.033325
IO	 10	 0.066675
CPU	 11	 0.03335
IO	 12	 0.06665
CPU	 13	 0.033325
IO	 14	 0.083325
CPU	 15	 0.033325
IO	 16	 0.08335
CPU	 17	 0.03335
IO	 18	 0.08335
CPU	 19	 0.03335
IO	 20	 0.083325
CPU	 21	 0.05
IO	 22	 0.06665
CPU	 23	 0.033325
IO	 24	 0.083325
CPU	 25	 0.033325
IO	 26	 0.1
CPU	 27	 0.05
IO	 28	 0.08335
CPU	 29	 0.03335
IO	 30	 0.066675
CPU	 31	 0.03335
IO	 32	 0.083325
CPU	 33	 0.033325
IO	 34	 0.083325
CPU	 35	 0.033325
IO	 36	 0.066675
CPU	 37	 0.033325
IO	 38	 0.08335
CPU	 39	 0.03335
IO	 40	 0.083325
CPU	 41	 0.033325
IO	 42	 0.083325
CPU	 43	 0.033325
IO	 44	 0.083325
CPU	 45	 0.033325
IO	 46	 0.083325
CPU	 47	 0.033325
IO	 48	 0.05
CPU	 49	 0.05
