IO	 0	 0.066675
CPU	 1	 0.03335
IO	 2	 0.06665
CPU	 3	 0.033325
IO	 4	 0.083325
CPU	 5	 0.033325
IO	 6	 0.08335
CPU	 7	 0.05
IO	 8	 0.066675
CPU	 9	 0.03335
IO	 10	 0.083325
CPU	 11	 0.033325
IO	 12	 0.083325
CPU	 13	 0.033325
IO	 14	 0.066675
CPU	 15	 0.033325
IO	 16	 0.066675
CPU	 17	 0.03335
IO	 18	 0.06665
CPU	 19	 0.01665
IO	 20	 0.083325
CPU	 21	 0.033325
IO	 22	 0.08335
CPU	 23	 0.03335
IO	 24	 0.066675
CPU	 25	 0.03335
IO	 26	 0.06665
CPU	 27	 0.033325
IO	 28	 0.083325
CPU	 29	 0.033325
IO	 30	 0.1
CPU	 31	 0.05
IO	 32	 0.08335
CPU	 33	 0.03335
IO	 34	 0.08335
CPU	 35	 0.03335
IO	 36	 0.083325
CPU	 37	 0.033325
IO	 38	 0.083325
CPU	 39	 0.033325
IO	 40	 0.083325
CPU	 41	 0.033325
IO	 42	 0.083325
CPU	 43	 0.033325
IO	 44	 0.08335
CPU	 45	 0.03335
IO	 46	 0.08335
CPU	 47	 0.03335
IO	 48	 0.083325
CPU	 49	 0.05
IO	 50	 0.083325
CPU	 51	 0.033325
IO	 52	 0.083325
CPU	 53	 0.05
IO	 54	 0.066675
CPU	 55	 0.033325
IO	 56	 0.08335
CPU	 57	 0.03335
IO	 58	 0.1
CPU	 59	 0.05
IO	 60	 0.1
CPU	 61	 0.033325
IO	 62	 0.083325
CPU	 63	 0.05
IO	 64	 0.06665
CPU	 65	 0.033325
IO	 66	 0.083325
CPU	 67	 0.033325
IO	 68	 0.08335
CPU	 69	 0.03335
IO	 70	 0.08335
CPU	 71	 0.03335
IO	 72	 0.083325
CPU	 73	 0.05
IO	 74	 0.06665
CPU	 75	 0.033325
IO	 76	 0.083325
CPU	 77	 0.033325
IO	 78	 0.08335
CPU	 79	 0.03335
IO	 80	 0.08335
CPU	 81	 0.03335
IO	 82	 0.083325
CPU	 83	 0.033325
IO	 84	 0.083325
CPU	 85	 0.033325
IO	 86	 0.083325
CPU	 87	 0.033325
IO	 88	 0.066675
CPU	 89	 0.033325
IO	 90	 0.08335
CPU	 91	 0.03335
IO	 92	 0.083325
CPU	 93	 0.033325
IO	 94	 0.06665
CPU	 95	 0.033325
IO	 96	 0.066675
CPU	 97	 0.033325
IO	 98	 0.05
CPU	 99	 0.03335
